iter	Logloss
0	0.6558988407
1	0.6269967166
2	0.6013843558
3	0.5799507298
4	0.5595131381
5	0.5440390752
6	0.5293481167
7	0.5161873295
8	0.5026858582
9	0.4898824313
10	0.4797612462
11	0.4697839524
12	0.4600761796
13	0.4533904828
14	0.4461915163
15	0.4393396549
16	0.4335541639
17	0.4275696731
18	0.4234628006
19	0.4183189816
20	0.4147228591
21	0.4111707192
22	0.4073152262
23	0.4044464016
24	0.4016226416
25	0.398229136
26	0.3947947413
27	0.3910815326
28	0.3888444785
29	0.3875043649
30	0.3856604302
31	0.383052204
32	0.3817009111
33	0.3798462794
34	0.3782330266
35	0.3768280065
36	0.3749954662
37	0.3733109445
38	0.3719037901
39	0.3705059664
40	0.3687153427
41	0.3660863833
42	0.3637940692
43	0.3611301221
44	0.3596507037
45	0.3582266094
46	0.3563305473
47	0.3539842282
48	0.3527326679
49	0.3513403765
50	0.3496097673
51	0.3485164539
52	0.346998309
53	0.3460024682
54	0.3451935657
55	0.3433956759
56	0.3419730099
57	0.3409927416
58	0.340041314
59	0.3388012997
60	0.3373507712
61	0.3359819333
62	0.3344985246
63	0.3333610057
64	0.3323701944
65	0.3309002542
66	0.3303262104
67	0.3288992278
68	0.327895749
69	0.3268628398
70	0.3254216074
71	0.3245168687
72	0.3236401691
73	0.3225740492
74	0.3215269216
75	0.3208019727
76	0.3193230399
77	0.3185129794
78	0.317701251
79	0.3166436735
80	0.3160471098
81	0.314737495
82	0.31378671
83	0.312444406
84	0.3118232441
85	0.3111799757
86	0.310563914
87	0.3094773351
88	0.3088042696
89	0.3080622036
90	0.3076351196
91	0.3073592869
92	0.3064261546
93	0.3058171568
94	0.305426148
95	0.3047345072
96	0.3034629176
97	0.3027093089
98	0.3019251748
99	0.3016100448
